paper_id,title,conference,path,accept_reject,accept_type,weighted_mean_overall,score_z_within_venue,score_z_1_10_clipped,score_percentile_within_venue,score_percentile_1_10,normalization_pool_n,decision,venue,dataset,slug
txmJldjJUw,Long-RVOS: A Comprehensive Benchmark for Long-term Referring Video Object Segmentation,neurips2025,neurips-2025-dataset-v2/papers-anonymized/long-rvos-a-comprehensive-benchmark-for-long-term-referring_anon.pdf,reject,Reject,4.5263,0.5182,6.666,0.7044,7.3393,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,long-rvos-a-comprehensive-benchmark-for-long-term-referring
te2RsWcyQp,Mesh-RFT: Enhancing Mesh Generation via Fine-grained Reinforcement Fine-Tuning,neurips2025,neurips-2025-dataset-v2/papers-anonymized/mesh-rft-enhancing-mesh-generation-via-fine-grained-reinforc_anon.pdf,accept,Accept (spotlight),5.5625,2.9862,10.0,0.9994,9.9943,5540,Accept (spotlight),NeurIPS 2025 spotlight,neurips-2025-dataset-v2,mesh-rft-enhancing-mesh-generation-via-fine-grained-reinforc
IOScl0QXf8,ML-Approach to Qualimetry: GNNs in Value Assessment,neurips2025,neurips-2025-dataset-v2/papers-anonymized/ml-approach-to-qualimetry-gnns-in-value-assessment_anon.pdf,reject,Reject,1.6667,-6.2927,1.0,0.0009,1.0081,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,ml-approach-to-qualimetry-gnns-in-value-assessment
k5ekIwvmYA,Multi-Actor Multi-Critic Deep Deterministic Reinforcement Learning with a Novel Q-Ensemble Method,neurips2025,neurips-2025-dataset-v2/papers-anonymized/multi-actor-multi-critic-deep-deterministic-reinforcement-le_anon.pdf,reject,Reject,2.7895,-3.6185,1.0,0.0067,1.0601,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,multi-actor-multi-critic-deep-deterministic-reinforcement-le
mZuFaBAVs6,MVG-CRPS: A Robust Loss Function for Multivariate Probabilistic Forecasting,neurips2025,neurips-2025-dataset-v2/papers-anonymized/mvg-crps-a-robust-loss-function-for-multivariate-probabilist_anon.pdf,reject,Reject,2.7143,-3.7976,1.0,0.006,1.0536,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,mvg-crps-a-robust-loss-function-for-multivariate-probabilist
vhnDpzcaO2,Near-Optimal Sample Complexities of  Divergence-based  S-rectangular Distributionally Robust Reinforcement Learning,neurips2025,neurips-2025-dataset-v2/papers-anonymized/near-optimal-sample-complexities-of-divergence-based-s-recta_anon.pdf,reject,Reject,2.6923,-3.85,1.0,0.0056,1.0504,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,near-optimal-sample-complexities-of-divergence-based-s-recta
gBgvuTd9Hx,One Token Embedding Is Enough to Deadlock Your Large Reasoning Model,neurips2025,neurips-2025-dataset-v2/papers-anonymized/one-token-embedding-is-enough-to-deadlock-your-large-reasoni_anon.pdf,accept,Accept (poster),3.75,-1.3308,2.5058,0.072,1.6483,5540,Accept (poster),NeurIPS 2025 poster,neurips-2025-dataset-v2,one-token-embedding-is-enough-to-deadlock-your-large-reasoni
zQmXDUbZ5D,OpenHype: Hyperbolic Embeddings for Hierarchical Open-Vocabulary Radiance Fields,neurips2025,neurips-2025-dataset-v2/papers-anonymized/openhype-hyperbolic-embeddings-for-hierarchical-open-vocabul_anon.pdf,accept,Accept (poster),4.0,-0.7353,3.8455,0.2021,2.819,5540,Accept (poster),NeurIPS 2025 poster,neurips-2025-dataset-v2,openhype-hyperbolic-embeddings-for-hierarchical-open-vocabul
sfqIc7BnwS,Operand Selective Logic Gate Network,neurips2025,neurips-2025-dataset-v2/papers-anonymized/operand-selective-logic-gate-network_anon.pdf,reject,Reject,1.4375,-6.8386,1.0,0.0005,1.0041,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,operand-selective-logic-gate-network
MjOf5qnEX7,Optimal Single-Policy Sample Complexity and Transient Coverage for Average-Reward Offline RL,neurips2025,neurips-2025-dataset-v2/papers-anonymized/optimal-single-policy-sample-complexity-and-transient-covera_anon.pdf,accept,Accept (poster),4.2,-0.259,4.9174,0.3493,4.1433,5540,Accept (poster),NeurIPS 2025 poster,neurips-2025-dataset-v2,optimal-single-policy-sample-complexity-and-transient-covera
n3armuTFit,Orient Anything V2: Unifying Orientation and Rotation Understanding,neurips2025,neurips-2025-dataset-v2/papers-anonymized/orient-anything-v2-unifying-orientation-and-rotation-underst_anon.pdf,accept,Accept (spotlight),5.25,2.2419,10.0,0.9903,9.9123,5540,Accept (spotlight),NeurIPS 2025 spotlight,neurips-2025-dataset-v2,orient-anything-v2-unifying-orientation-and-rotation-underst
1KylG7l2oQ,Per-channel autoregressive linear prediction padding in tiled CNN processing of 2D spatial data,neurips2025,neurips-2025-dataset-v2/papers-anonymized/per-channel-autoregressive-linear-prediction-padding-in-tile_anon.pdf,reject,Reject,2.4286,-4.4781,1.0,0.0027,1.0244,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,per-channel-autoregressive-linear-prediction-padding-in-tile
ziLHIExi1j,Quantifying First‐Order Markov Breakdowns in Noisy Reinforcement Learning: A Causal Discovery Approach,neurips2025,neurips-2025-dataset-v2/papers-anonymized/quantifying-first-order-markov-breakdowns-in-noisy-reinforce_anon.pdf,reject,Reject,2.4667,-4.3873,1.0,0.0031,1.0276,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,quantifying-first-order-markov-breakdowns-in-noisy-reinforce
49TFMeqNKd,Reducing Deep Network Complexity via Sparse Hierarchical Fourier Interaction Networks,neurips2025,neurips-2025-dataset-v2/papers-anonymized/reducing-deep-network-complexity-via-sparse-hierarchical-fou_anon.pdf,reject,Reject,1.4375,-6.8386,1.0,0.0005,1.0041,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,reducing-deep-network-complexity-via-sparse-hierarchical-fou
e2hlcfECdu,Self-Directed Decomposition Empowers Reasoning Potentials in Large Language Models,neurips2025,neurips-2025-dataset-v2/papers-anonymized/self-directed-decomposition-empowers-reasoning-potentials-in_anon.pdf,reject,Reject,1.7647,-6.0593,1.0,0.0013,1.0114,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,self-directed-decomposition-empowers-reasoning-potentials-in
JRFMzQnYXl,Stab-SGD: Noise-Adaptivity in Smooth Optimization with Stability Ratios,neurips2025,neurips-2025-dataset-v2/papers-anonymized/stab-sgd-noise-adaptivity-in-smooth-optimization-with-stabil_anon.pdf,accept,Accept (poster),3.6923,-1.4682,2.1966,0.0519,1.4671,5540,Accept (poster),NeurIPS 2025 poster,neurips-2025-dataset-v2,stab-sgd-noise-adaptivity-in-smooth-optimization-with-stabil
w0xm9oG8im,STRIDER: Navigation via Instruction-Aligned Structural Decision Space Optimization,neurips2025,neurips-2025-dataset-v2/papers-anonymized/strider-navigation-via-instruction-aligned-structural-decisi_anon.pdf,accept,Accept (poster),3.0,-3.1171,1.0,0.0085,1.0764,5540,Accept (poster),NeurIPS 2025 poster,neurips-2025-dataset-v2,strider-navigation-via-instruction-aligned-structural-decisi
RDbuSCWhad,Structured Sparse Transition Matrices to Enable State Tracking in State-Space Models,neurips2025,neurips-2025-dataset-v2/papers-anonymized/structured-sparse-transition-matrices-to-enable-state-tracki_anon.pdf,accept,Accept (spotlight),4.5882,0.6657,6.9977,0.7775,7.9974,5540,Accept (spotlight),NeurIPS 2025 spotlight,neurips-2025-dataset-v2,structured-sparse-transition-matrices-to-enable-state-tracki
3nza35A6I4,Training Language Models to Generate Quality Code with Program Analysis Feedback,neurips2025,neurips-2025-dataset-v2/papers-anonymized/training-language-models-to-generate-quality-code-with-progr_anon.pdf,accept,Accept (poster),3.9375,-0.8842,3.5106,0.1294,2.165,5540,Accept (poster),NeurIPS 2025 poster,neurips-2025-dataset-v2,training-language-models-to-generate-quality-code-with-progr
FSowNqrLpp,Weak-to-strong Generalization via Formative Learning from Student Demonstrations & Teacher Evaluation,neurips2025,neurips-2025-dataset-v2/papers-anonymized/weak-to-strong-generalization-via-formative-learning-from-st_anon.pdf,reject,Reject,3.25,-2.5217,1.0,0.0135,1.1211,5540,Reject,Submitted to NeurIPS 2025,neurips-2025-dataset-v2,weak-to-strong-generalization-via-formative-learning-from-st
A1Zte0ixms,What's Producible May Not Be Reachable: Measuring the Steerability of Generative Models,neurips2025,neurips-2025-dataset-v2/papers-anonymized/what-s-producible-may-not-be-reachable-measuring-the-steerab_anon.pdf,accept,Accept (poster),4.2667,-0.1001,5.2748,0.4584,5.1255,5540,Accept (poster),NeurIPS 2025 poster,neurips-2025-dataset-v2,what-s-producible-may-not-be-reachable-measuring-the-steerab
